City,Chinese,Province,Prefecture,Founded
Hami,哈密市,Xinjiang,direct administration,2016-01-07
Hotan,和田市,Xinjiang,Hotan,1983-09-09
Karamay,克拉玛依市,Xinjiang,direct administration,1982-02-16
Kashgar,喀什市,Xinjiang,Kashgar,1952-05-22
Khorgas,霍尔果斯市,Xinjiang,Ili,2014-06-26
Kokdala,可克达拉市,Xinjiang,none,2015-03-16
Korla,库尔勒市,Xinjiang,Bayingolin,1979-09-02
Kuytun,奎屯市,Xinjiang,Ili,1975-08-29
Kunyu,昆玉市,Xinjiang,none,2016-01-07
Shihezi,石河子市,Xinjiang,none,1976-01-02
Shuanghe,双河市,Xinjiang,none,2014-01-25
Tacheng,塔城市,Xinjiang,Tacheng,1984-11-17
Tiemenguan,铁门关市,Xinjiang,none,2012-12-17
Tumxuk,图木舒克市,Xinjiang,none,2002-09-17
Turpan,吐鲁番市,Xinjiang,direct administration,2015-03-16
Ürümqi,乌鲁木齐市,Xinjiang,direct administration,1949-10-01
Wujiaqu,五家渠市,Xinjiang,none,2002-09-17
Wusu,乌苏市,Xinjiang,Tacheng,1996-07-10
Yining,伊宁市,Xinjiang,Ili,1952-05-22
Anning,安宁市,Yunnan,Kunming,1995-10-13
Baoshan,保山市,Yunnan,direct administration,2000-12-30
Chuxiong,楚雄市,Yunnan,Chuxiong,1983-09-09
Dali,大理市,Yunnan,Dali,1983-09-09
Gejiu,个旧市,Yunnan,Honghe,1958-09-16
Jinghong,景洪市,Yunnan,Xishuangbanna,1993-12-22
Kaiyuan,开远市,Yunnan,Honghe,1981-01-18
Kunming,昆明市,Yunnan,direct administration,1949-10-01
Lincang,临沧市,Yunnan,direct administration,2003-12-26
Lijiang,丽江市,Yunnan,direct administration,2002-12-26
Lushui,泸水市,Yunnan,Nujiang,2016-06-16
Mangshi,芒市,Yunnan,Dehong,1996-10-28
Mengzi,蒙自市,Yunnan,Honghe,2010-09-10
Mile,弥勒市,Yunnan,Honghe,2013-01-24
Pu'er,普洱市,Yunnan,direct administration,2003-10-30
Qujing,曲靖市,Yunnan,direct administration,1997-05-06
Ruili,瑞丽市,Yunnan,Dehong,1992-06-26
Shangri-La,香格里拉市,Yunnan,Dêqên,2014-12-16
Shuifu,水富市,Yunnan,Zhaotong,2018-07-02
Tengchong,腾冲市,Yunnan,Baoshan,2015-08-01
Wenshan,文山市,Yunnan,Wenshan,2010-12-02
Xuanwei,宣威市,Yunnan,Qujing,1994-02-18
Yuxi,玉溪市,Yunnan,direct administration,1997-12-13
Zhaotong,昭通市,Yunnan,direct administration,2001-01-13
Cixi,慈溪市,Zhejiang,Ningbo,1988-10-13
Dongyang,东阳市,Zhejiang,Jinhua,1988-05-25
Haining,海宁市,Zhejiang,Jiaxing,1986-11-22
Hangzhou,杭州市,Zhejiang,direct administration,1949-10-01
Huzhou,湖州市,Zhejiang,direct administration,1983-07-27
Jiande,建德市,Zhejiang,Hangzhou,1992-04-01
Jiangshan,江山市,Zhejiang,Quzhou,1987-11-27
Jiaxing,嘉兴市,Zhejiang,direct administration,1983-07-27
Jinhua,金华市,Zhejiang,direct administration,1985-05-15
Lanxi,兰溪市,Zhejiang,Jinhua,1985-05-15
Linhai,临海市,Zhejiang,Taizhou,1986-03-01
Lishui,丽水市,Zhejiang,direct administration,2000-05-20
Longquan,龙泉市,Zhejiang,Lishui,1990-12-26
Ningbo,宁波市,Zhejiang,direct administration,1949-12-20
Pinghu,平湖市,Zhejiang,Jiaxing,1991-06-15
Quzhou,衢州市,Zhejiang,direct administration,1985-05-15
Ruian,瑞安市,Zhejiang,Wenzhou,1987-04-15
Shaoxing,绍兴市,Zhejiang,direct administration,1983-07-27
Shengzhou,嵊州市,Zhejiang,Shaoxing,1995-08-30
Taizhou,台州市,Zhejiang,direct administration,1994-08-22
Tongxiang,桐乡市,Zhejiang,Jiaxing,1993-03-26
Wenling,温岭市,Zhejiang,Taizhou,1994-02-18
Wenzhou,温州市,Zhejiang,direct administration,1949-11-06
Yiwu,义乌市,Zhejiang,Jinhua,1988-05-25
Yongkang,永康市,Zhejiang,Jinhua,1992-08-24
Yueqing,乐清市,Zhejiang,Wenzhou,1993-09-18
Yuhuan,玉环市,Zhejiang,Taizhou,2017-04-09
Yuyao,余姚市,Zhejiang,Ningbo,1985-07-16
Zhoushan,舟山市,Zhejiang,direct administration,1987-01-23
Zhuji,诸暨市,Zhejiang,Shaoxing,1989-09-27
